S.No,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,w
1,Maharashtra,SOLAPUR,2014,Rabi       ,Jowar,622800,354100,1
2,Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Groundnut,550794,148714,1
3,West Bengal,MEDINIPUR WEST,2014,Winter     ,Rice,496134,1348329,1
4,Maharashtra,JALGAON,2014,Kharif     ,Cotton(lint),471100,768100,1
5,Maharashtra,AHMEDNAGAR,2014,Rabi       ,Jowar,443600,279800,1
6,Maharashtra,AURANGABAD,2014,Kharif     ,Cotton(lint),422600,244300,1
7,Maharashtra,YAVATMAL,2014,Kharif     ,Cotton(lint),421000,287400,1
8,West Bengal,BARDHAMAN,2014,Winter     ,Rice,419814,1361138,1
9,Andhra Pradesh,WEST GODAVARI,2014,Whole Year ,Rice,409286,1624324,1
10,Andhra Pradesh,EAST GODAVARI,2014,Whole Year ,Rice,394117,1563229,1
11,Maharashtra,BEED,2014,Kharif     ,Cotton(lint),373300,167600,1
12,Maharashtra,AMRAVATI,2014,Kharif     ,Soyabean,370600,128300,1
13,Maharashtra,BULDHANA,2014,Kharif     ,Soyabean,352500,189100,1
14,Maharashtra,NANDED,2014,Kharif     ,Cotton(lint),342300,176800,1
15,Maharashtra,LATUR,2014,Kharif     ,Soyabean,336800,210000,1
16,Uttar Pradesh,HARDOI,2014,Rabi       ,Wheat,326194,719258,1
17,West Bengal,24 PARAGANAS SOUTH,2014,Winter     ,Rice,325501,794541,1
18,West Bengal,BIRBHUM,2014,Winter     ,Rice,315561,1029374,1
19,Karnataka,GULBARGA,2014,Kharif     ,Arhar/Tur,315343,210003,1
20,Telangana ,NALGONDA,2014,Kharif     ,Cotton(lint),307792,505141,1
21,Andhra Pradesh,KURNOOL,2014,Kharif     ,Cotton(lint),306058,809620,1
22,Maharashtra,YAVATMAL,2014,Kharif     ,Soyabean,306000,97600,1
23,Telangana ,ADILABAD,2014,Kharif     ,Cotton(lint),304424,573033,1
24,Maharashtra,WASHIM,2014,Kharif     ,Soyabean,296500,121300,1
25,West Bengal,BANKURA,2014,Winter     ,Rice,294204,794716,1
26,Maharashtra,JALNA,2014,Kharif     ,Cotton(lint),294200,159100,1
27,Andhra Pradesh,KRISHNA,2014,Whole Year ,Rice,288042,998795,1
28,Chhattisgarh,RAJNANDGAON,2014,Kharif     ,Rice,287194,480285,1
29,Andhra Pradesh,GUNTUR,2014,Whole Year ,Rice,285302,1111932,1
30,Punjab,SANGRUR,2014,Rabi       ,Wheat,284000,1366000,1
31,West Bengal,PURULIA,2014,Winter     ,Rice,279151,597899,1
32,Odisha,MAYURBHANJ,2014,Winter     ,Rice,276000,623000,1
33,Maharashtra,PARBHANI,2014,Kharif     ,Cotton(lint),273500,204800,1
34,Chhattisgarh,MAHASAMUND,2014,Kharif     ,Rice,272551,510063,1
35,Punjab,SANGRUR,2014,Kharif     ,Rice,271000,1281000,1
36,Uttar Pradesh,KHERI,2014,Kharif     ,Sugarcane,268653,17757963,1
37,Maharashtra,PUNE,2014,Rabi       ,Jowar,268300,131700,1
38,Odisha,GANJAM,2014,Winter     ,Rice,264000,715000,1
39,Uttar Pradesh,SHAHJAHANPUR,2014,Rabi       ,Wheat,260462,517017,1
40,Punjab,LUDHIANA,2014,Kharif     ,Rice,257000,1119000,1
41,Andhra Pradesh,GUNTUR,2014,Kharif     ,Rice,255607,1000190,1
42,Uttar Pradesh,BUDAUN,2014,Rabi       ,Wheat,255586,538009,1
43,West Bengal,MEDINIPUR EAST,2014,Winter     ,Rice,254064,546260,1
44,Punjab,BATHINDA,2014,Rabi       ,Wheat,254000,1218000,1
45,Chhattisgarh,JANJGIR-CHAMPA,2014,Kharif     ,Rice,253667,802349,1
46,Punjab,LUDHIANA,2014,Rabi       ,Wheat,253000,1129000,1
47,Maharashtra,BEED,2014,Rabi       ,Jowar,250400,134800,1
48,Uttar Pradesh,AZAMGARH,2014,Rabi       ,Wheat,243897,516574,1
49,Uttar Pradesh,UNNAO,2014,Rabi       ,Wheat,243188,488078,1
50,Andhra Pradesh,SPSR NELLORE,2014,Whole Year ,Rice,240723,969015,1
51,Chhattisgarh,BALODA BAZAR,2014,Kharif     ,Rice,238360,383684,1
52,Telangana ,MAHBUBNAGAR,2014,Kharif     ,Cotton(lint),237683,464509,1
53,Karnataka,GULBARGA,2014,Rabi       ,Jowar,237624,271569,1
54,Andhra Pradesh,KRISHNA,2014,Kharif     ,Rice,235212,788901,1
55,Maharashtra,AKOLA,2014,Kharif     ,Soyabean,233100,69600,1
56,Punjab,PATIALA,2014,Rabi       ,Wheat,233000,1024000,1
57,Andhra Pradesh,WEST GODAVARI,2014,Kharif     ,Rice,231475,733313,1
58,Punjab,PATIALA,2014,Kharif     ,Rice,230000,904000,1
59,Chhattisgarh,RAIGARH,2014,Kharif     ,Rice,228200,367385,1
60,Telangana ,WARANGAL,2014,Kharif     ,Cotton(lint),228057,607705,1
61,Chhattisgarh,BILASPUR,2014,Kharif     ,Rice,227579,456491,1
62,Andhra Pradesh,EAST GODAVARI,2014,Kharif     ,Rice,226072,681833,1
63,Uttar Pradesh,ALIGARH,2014,Rabi       ,Wheat,223267,546558,1
64,West Bengal,MURSHIDABAD,2014,Winter     ,Rice,222718,686341,1
65,Maharashtra,NAGPUR,2014,Kharif     ,Soyabean,220400,79500,1
66,Maharashtra,NANDED,2014,Kharif     ,Soyabean,218900,64500,1
67,Uttarakhand,UDAM SINGH NAGAR,2014,Whole Year ,Total foodgrain,217299,669556,1
68,West Bengal,COOCHBEHAR,2014,Winter     ,Rice,217046,515777,1
69,Maharashtra,OSMANABAD,2014,Rabi       ,Jowar,215900,74500,1
70,Telangana ,KARIMNAGAR,2014,Kharif     ,Cotton(lint),214586,585694,1
71,Uttar Pradesh,ALLAHABAD,2014,Rabi       ,Wheat,213258,290829,1
72,Odisha,DEOGARH,2014,Winter     ,Rice,29000,101000,1
73,Uttar Pradesh,BAREILLY,2014,Rabi       ,Wheat,212598,395007,1
74,Uttar Pradesh,BIJNOR,2014,Kharif     ,Sugarcane,212471,13968693,1
75,Andhra Pradesh,SRIKAKULAM,2014,Whole Year ,Rice,210215,447672,1
76,Maharashtra,DHULE,2014,Kharif     ,Cotton(lint),209900,258200,1
77,Uttar Pradesh,JAUNPUR,2014,Rabi       ,Wheat,209445,405486,1
78,Uttar Pradesh,SITAPUR,2014,Rabi       ,Wheat,208675,372484,1
79,Punjab,MUKTSAR,2014,Rabi       ,Wheat,208000,907000,1
80,Maharashtra,WARDHA,2014,Kharif     ,Cotton(lint),207700,184600,1
81,Andhra Pradesh,GUNTUR,2014,Kharif     ,Cotton(lint),206374,1075856,1
82,Punjab,FAZILKA,2014,Rabi       ,Wheat,206000,913000,1
83,Maharashtra,SOLAPUR,2014,Whole Year ,Sugarcane,205500,20049700,1
84,Andhra Pradesh,SRIKAKULAM,2014,Kharif     ,Rice,205485,434806,1
85,Uttar Pradesh,SHAHJAHANPUR,2014,Kharif     ,Rice,203946,572069,1
86,Uttar Pradesh,AZAMGARH,2014,Kharif     ,Rice,202341,400028,1
87,Chhattisgarh,DHAMTARI,2014,Kharif     ,Rice,198148,620402,1
88,Bihar,ROHTAS,2014,Winter     ,Rice,196508,820981,1
